STATION,DATE,TMAX,TMIN,TOBS
GHCND:USR0000CFTC,20100923,233,128,-9999
GHCND:USR0000CFTC,20100924,256,83,-9999
GHCND:USR0000CFTC,20100925,250,133,-9999
GHCND:USR0000CFTC,20100926,294,89,-9999
GHCND:USR0000CFTC,20100927,289,150,-9999
GHCND:USR0000CFTC,20100928,300,133,-9999
GHCND:USR0000CFTC,20100929,283,117,-9999
GHCND:USR0000CFTC,20100930,206,94,-9999
GHCND:USR0000CFTC,20101001,267,89,-9999
GHCND:USR0000CFTC,20101002,178,50,-9999
GHCND:USR0000CFTC,20101003,256,33,-9999
GHCND:USR0000CFTC,20101004,261,100,-9999
GHCND:USR0000CFTC,20101005,256,128,-9999
GHCND:USR0000CFTC,20101006,211,117,-9999
GHCND:USR0000CFTC,20101007,244,94,-9999
GHCND:USR0000CFTC,20101008,200,78,-9999
GHCND:USR0000CFTC,20101009,183,61,-9999
GHCND:USR0000CFTC,20101010,161,72,-9999
GHCND:USR0000CFTC,20101011,172,72,-9999
GHCND:USR0000CFTC,20101012,111,39,-9999
GHCND:USR0000CFTC,20101013,161,28,-9999
GHCND:USR0000CFTC,20101014,228,67,-9999
GHCND:USR0000CFTC,20101015,261,111,-9999
GHCND:USR0000CFTC,20101016,206,94,-9999
GHCND:USR0000CFTC,20101017,211,39,-9999
GHCND:USR0000CFTC,20101018,133,61,-9999
GHCND:USR0000CFTC,20101019,194,33,-9999
GHCND:USR0000CFTC,20101020,211,78,-9999
GHCND:USR0000CFTC,20101021,161,67,-9999
GHCND:USR0000CFTC,20101022,122,56,-9999
GHCND:USR0000CFTC,20101023,167,83,-9999
GHCND:USR0000CFTC,20101024,189,72,-9999
GHCND:USR0000CFTC,20101025,156,11,-9999
GHCND:USR0000CFTC,20101026,67,0,-9999
GHCND:USR0000CFTC,20101027,106,0,-9999
GHCND:USR0000CFTC,20101028,156,-11,-9999
GHCND:USR0000CFTC,20101029,250,89,-9999
GHCND:USR0000CFTC,20101030,189,89,-9999
GHCND:USR0000CFTC,20101031,172,56,-9999
GHCND:USR0000CFTC,20101101,122,39,-9999
GHCND:USR0000CFTC,20101102,189,44,-9999
GHCND:USR0000CFTC,20101103,150,56,-9999
GHCND:USR0000CFTC,20101104,122,6,-9999
GHCND:USR0000CFTC,20101105,206,50,-9999
GHCND:USR0000CFTC,20101106,217,94,-9999
GHCND:USR0000CFTC,20101107,211,106,-9999
GHCND:USR0000CFTC,20101108,211,111,-9999
GHCND:USR0000CFTC,20101109,128,-17,-9999
GHCND:USR0000CFTC,20101110,72,-22,-9999
GHCND:USR0000CFTC,20101111,39,-39,-9999
GHCND:USR0000CFTC,20101112,67,-56,-9999
GHCND:USR0000CFTC,20101113,39,-56,-9999
GHCND:USR0000CFTC,20101114,28,-72,-9999
GHCND:USR0000CFTC,20101115,56,-22,-9999
GHCND:USR0000CFTC,20101116,133,-22,-9999
GHCND:USR0000CFTC,20101117,39,-33,-9999
GHCND:USR0000CFTC,20101118,200,-33,-9999
GHCND:USR0000CFTC,20101119,167,-11,-9999
GHCND:USR0000CFTC,20101120,172,-28,-9999
GHCND:USR0000CFTC,20101121,111,11,-9999
GHCND:USR0000CFTC,20101122,39,-22,-9999
GHCND:USR0000CFTC,20101123,94,-50,-9999
GHCND:USR0000CFTC,20101124,61,-122,-9999
GHCND:USR0000CFTC,20101125,28,-150,-9999
GHCND:USR0000CFTC,20101126,78,-33,-9999
GHCND:USR0000CFTC,20101127,139,-6,-9999
GHCND:USR0000CFTC,20101128,78,-28,-9999
GHCND:USR0000CFTC,20101129,-11,-94,-9999
GHCND:USR0000CFTC,20101130,44,-106,-9999
GHCND:USR0000CFTC,20101201,156,-11,-9999
GHCND:USR0000CFTC,20101202,117,6,-9999
GHCND:USR0000CFTC,20101203,183,50,-9999
GHCND:USR0000CFTC,20101204,33,-44,-9999
GHCND:USR0000CFTC,20101205,50,-78,-9999
GHCND:USR0000CFTC,20101206,89,6,-9999
GHCND:USR0000CFTC,20101207,89,-6,-9999
GHCND:USR0000CFTC,20101208,106,-22,-9999
GHCND:USR0000CFTC,20101209,128,11,-9999
GHCND:USR0000CFTC,20101210,128,0,-9999
GHCND:USR0000CFTC,20101211,39,-72,-9999
GHCND:USR0000CFTC,20101212,89,-83,-9999
GHCND:USR0000CFTC,20101213,194,67,-9999
GHCND:USR0000CFTC,20101214,161,72,-9999
GHCND:USR0000CFTC,20101215,133,-28,-9999
GHCND:USR0000CFTC,20101216,-17,-56,-9999
GHCND:USR0000CFTC,20101217,-33,-78,-9999
GHCND:USR0000CFTC,20101218,17,-100,-9999
GHCND:USR0000CFTC,20101219,128,0,-9999
GHCND:USR0000CFTC,20101220,139,17,-9999
GHCND:USR0000CFTC,20101221,50,-50,-9999
GHCND:USR0000CFTC,20101222,-33,-56,-9999
GHCND:USR0000CFTC,20101223,111,-61,-9999
GHCND:USR0000CFTC,20101224,44,-17,-9999
GHCND:USR0000CFTC,20101225,94,-50,-9999
GHCND:USR0000CFTC,20101226,100,-33,-9999
GHCND:USR0000CFTC,20101227,67,-17,-9999
GHCND:USR0000CFTC,20101228,72,-39,-9999
GHCND:USR0000CFTC,20101229,106,28,-9999
GHCND:USR0000CFTC,20101230,39,-144,-9999
GHCND:USR0000CFTC,20101231,-122,-189,-9999
GHCND:USR0000CFTC,20110101,-72,-167,-9999
GHCND:USR0000CFTC,20110102,83,-106,-9999
GHCND:USR0000CFTC,20110103,44,-72,-9999
GHCND:USR0000CFTC,20110104,33,-100,-9999
GHCND:USR0000CFTC,20110105,67,-28,-9999
GHCND:USR0000CFTC,20110106,128,-6,-9999
GHCND:USR0000CFTC,20110107,89,-28,-9999
GHCND:USR0000CFTC,20110108,133,-33,-9999
GHCND:USR0000CFTC,20110109,6,-122,-9999
GHCND:USR0000CFTC,20110110,-83,-172,-9999
GHCND:USR0000CFTC,20110111,-39,-150,-9999
GHCND:USR0000CFTC,20110112,22,-167,-9999
GHCND:USR0000CFTC,20110113,111,0,-9999
GHCND:USR0000CFTC,20110114,83,0,-9999
GHCND:USR0000CFTC,20110115,94,0,-9999
GHCND:USR0000CFTC,20110116,72,0,-9999
GHCND:USR0000CFTC,20110117,128,0,-9999
GHCND:USR0000CFTC,20110118,89,-11,-9999
GHCND:USR0000CFTC,20110119,44,-78,-9999
GHCND:USR0000CFTC,20110120,17,-94,-9999
GHCND:USR0000CFTC,20110121,72,-17,-9999
GHCND:USR0000CFTC,20110122,89,-39,-9999
GHCND:USR0000CFTC,20110123,44,-67,-9999
GHCND:USR0000CFTC,20110124,-6,-78,-9999
GHCND:USR0000CFTC,20110125,67,-56,-9999
GHCND:USR0000CFTC,20110126,56,-28,-9999
GHCND:USR0000CFTC,20110127,117,11,-9999
GHCND:USR0000CFTC,20110128,189,50,-9999
GHCND:USR0000CFTC,20110129,167,11,-9999
GHCND:USR0000CFTC,20110130,61,-44,-9999
GHCND:USR0000CFTC,20110131,33,-183,-9999
GHCND:USR0000CFTC,20110201,-189,-244,-9999
GHCND:USR0000CFTC,20110202,-167,-267,-9999
GHCND:USR0000CFTC,20110203,-17,-167,-9999
GHCND:USR0000CFTC,20110204,56,-50,-9999
GHCND:USR0000CFTC,20110205,44,-39,-9999
GHCND:USR0000CFTC,20110206,-33,-94,-9999
GHCND:USR0000CFTC,20110207,33,-128,-9999
GHCND:USR0000CFTC,20110208,-72,-206,-9999
GHCND:USR0000CFTC,20110209,-72,-200,-9999
GHCND:USR0000CFTC,20110210,-17,-106,-9999
GHCND:USR0000CFTC,20110211,61,-67,-9999
GHCND:USR0000CFTC,20110212,106,0,-9999
GHCND:USR0000CFTC,20110213,189,56,-9999
GHCND:USR0000CFTC,20110214,100,11,-9999
GHCND:USR0000CFTC,20110215,183,67,-9999
GHCND:USR0000CFTC,20110216,144,94,-9999
GHCND:USR0000CFTC,20110217,122,0,-9999
GHCND:USR0000CFTC,20110218,78,-39,-9999
GHCND:USR0000CFTC,20110219,139,33,-9999
GHCND:USR0000CFTC,20110220,61,-22,-9999
GHCND:USR0000CFTC,20110221,72,-50,-9999
GHCND:USR0000CFTC,20110222,111,-56,-9999
GHCND:USR0000CFTC,20110223,100,-11,-9999
GHCND:USR0000CFTC,20110224,56,-67,-9999
GHCND:USR0000CFTC,20110225,-22,-83,-9999
GHCND:USR0000CFTC,20110226,106,17,-9999
GHCND:USR0000CFTC,20110227,89,-22,-9999
GHCND:USR0000CFTC,20110228,139,-72,-9999
GHCND:USR0000CFTC,20110301,172,22,-9999
GHCND:USR0000CFTC,20110302,156,-11,-9999
GHCND:USR0000CFTC,20110303,167,11,-9999
GHCND:USR0000CFTC,20110304,44,-56,-9999
GHCND:USR0000CFTC,20110305,67,-78,-9999
GHCND:USR0000CFTC,20110306,83,11,-9999
GHCND:USR0000CFTC,20110307,0,-61,-9999
GHCND:USR0000CFTC,20110308,11,-78,-9999
GHCND:USR0000CFTC,20110309,94,-56,-9999
GHCND:USR0000CFTC,20110310,150,-11,-9999
GHCND:USR0000CFTC,20110311,211,39,-9999
GHCND:USR0000CFTC,20110312,128,6,-9999
GHCND:USR0000CFTC,20110313,100,-28,-9999
GHCND:USR0000CFTC,20110314,144,-28,-9999
GHCND:USR0000CFTC,20110315,122,33,-9999
GHCND:USR0000CFTC,20110316,222,28,-9999
GHCND:USR0000CFTC,20110317,200,28,-9999
GHCND:USR0000CFTC,20110318,89,-17,-9999
GHCND:USR0000CFTC,20110319,194,-17,-9999
GHCND:USR0000CFTC,20110320,178,78,-9999
GHCND:USR0000CFTC,20110321,194,61,-9999
GHCND:USR0000CFTC,20110322,100,11,-9999
GHCND:USR0000CFTC,20110323,133,0,-9999
GHCND:USR0000CFTC,20110324,111,-67,-9999
GHCND:USR0000CFTC,20110325,139,11,-9999
GHCND:USR0000CFTC,20110326,100,-11,-9999
GHCND:USR0000CFTC,20110327,117,-22,-9999
GHCND:USR0000CFTC,20110328,89,-28,-9999
GHCND:USR0000CFTC,20110329,56,-28,-9999
GHCND:USR0000CFTC,20110330,144,-17,-9999
GHCND:USR0000CFTC,20110331,194,89,-9999
GHCND:USR0000CFTC,20110401,156,67,-9999
GHCND:USR0000CFTC,20110402,256,61,-9999
GHCND:USR0000CFTC,20110403,178,-39,-9999
GHCND:USR0000CFTC,20110404,72,-61,-9999
GHCND:USR0000CFTC,20110405,233,6,-9999
GHCND:USR0000CFTC,20110406,122,39,-9999
GHCND:USR0000CFTC,20110407,161,22,-9999
GHCND:USR0000CFTC,20110408,178,89,-9999
GHCND:USR0000CFTC,20110409,189,56,-9999
GHCND:USR0000CFTC,20110410,106,6,-9999
GHCND:USR0000CFTC,20110411,150,0,-9999
GHCND:USR0000CFTC,20110412,206,44,-9999
GHCND:USR0000CFTC,20110413,150,33,-9999
GHCND:USR0000CFTC,20110414,133,-6,-9999
GHCND:USR0000CFTC,20110415,139,-28,-9999
GHCND:USR0000CFTC,20110416,161,11,-9999
GHCND:USR0000CFTC,20110417,233,61,-9999
GHCND:USR0000CFTC,20110418,233,28,-9999
GHCND:USR0000CFTC,20110419,156,22,-9999
GHCND:USR0000CFTC,20110420,78,17,-9999
GHCND:USR0000CFTC,20110421,200,-6,-9999
GHCND:USR0000CFTC,20110422,161,61,-9999
GHCND:USR0000CFTC,20110423,56,0,-9999
GHCND:USR0000CFTC,20110424,50,-22,-9999
GHCND:USR0000CFTC,20110425,94,0,-9999
GHCND:USR0000CFTC,20110426,94,6,-9999
GHCND:USR0000CFTC,20110427,72,-6,-9999
GHCND:USR0000CFTC,20110428,183,0,-9999
GHCND:USR0000CFTC,20110429,211,-6,-9999
GHCND:USR0000CFTC,20110430,89,-39,-9999
GHCND:USR0000CFTC,20110501,33,-22,-9999
GHCND:USR0000CFTC,20110502,56,-28,-9999
GHCND:USR0000CFTC,20110503,172,0,-9999
GHCND:USR0000CFTC,20110504,206,11,-9999
GHCND:USR0000CFTC,20110505,178,0,-9999
GHCND:USR0000CFTC,20110506,256,72,-9999
GHCND:USR0000CFTC,20110507,261,94,-9999
GHCND:USR0000CFTC,20110508,261,144,-9999
GHCND:USR0000CFTC,20110509,222,117,-9999
GHCND:USR0000CFTC,20110510,206,78,-9999
GHCND:USR0000CFTC,20110511,100,11,-9999
GHCND:USR0000CFTC,20110512,117,11,-9999
GHCND:USR0000CFTC,20110513,178,17,-9999
GHCND:USR0000CFTC,20110514,122,22,-9999
GHCND:USR0000CFTC,20110515,61,0,-9999
